1982.05.26;Black Tiger (c) vs Tiger Mask;http://njpwworld.com/p/s_series_00044_1_1;Big Fight Series;Osaka Prefectural Gym;WWF Junior Heavyweight Title;;1
1982.05.26;Hulk Hogan vs Abdullah the Butcher;http://njpwworld.com/p/s_series_00044_1_2;Big Fight Series;Osaka Prefectural Gym;;;0
1982.07.23;Tiger Mask vs Dynamite Kid;http://njpwworld.com/p/s_series_00045_2_1;Summer Fight Series;Ishikawa City Gym;;;1
1982.08.30;Tiger Mask (c) vs Dynamite Kid;http://njpwworld.com/p/s_series_00046_1_1;WWF on MSG Network;Madison Square Garden;WWF Junior Heavyweight Title;;1
1982.09.21;Antonio Inoki vs Rusher Kimura;https://njpwworld.com/p/s_series_00046_2_1;Bloody Fight Series;Osaka Prefectural Gym;;;0
1982.10.26;Tiger Mask (c) vs Kuniaki Kobayashi;https://njpwworld.com/p/s_series_00047_1_1;Fighting Spirit Series;Osaka Prefectural Gym;WWF Junior Heavyweight Title;;0
1982.10.26;Antonio Inoki & Tatsumi Fujinami vs Rusher Kimura & Animal Hamaguchi;https://njpwworld.com/p/s_series_00047_1_2;Fighting Spirit Series;Osaka Prefectural Gym;;;0
1982.11.04;Tatsumi Fujinami (c) vs Riki Choshu;https://njpwworld.com/p/s_series_00047_2_2;Fighting Spirit Series;Osaka Prefectural Gym;WWF International Heavyweight Title;;1
1983.01.06;Tiger Mask (c) vs Kuniaki Kobayashi;http://njpwworld.com/p/s_series_00048_1_1;New Year Golden Series;Kuramae Kokugikan;NWA World Junior Heavyweight Title;;0
1983.04.03;Tatsumi Fujinami (c) vs Riki Choshu;http://njpwworld.com/p/s_series_00049_1_1;Big Fight Series II;Kuramae Kokugikan;WWF Int. Heavyweight Title;;1
1983.04.21;Tiger Mask vs Dynamite Kid;http://njpwworld.com/p/s_series_00049_2_2;Big Fight Series II;Kuramae Kokugikan;;;1
1983.04.21;Riki Choshu (c) vs Tatsumi Fujinami;http://njpwworld.com/p/s_series_00049_2_3;Big Fight Series II;Kuramae Kokugikan;WWF Int. Heavyweight Title;;2
1983.05.27;Antonio Inoki vs Akira Maeda;https://njpwworld.com/p/s_series_00050_1_1;IWGP Champion League;Takamatsu Civic Center;IWGP Champion League Play-Off;;0
1983.05.27;Andre the Giant vs Hulk Hogan;https://njpwworld.com/p/s_series_00050_1_2;IWGP Champion League;Takamatsu Civic Center;IWGP Champion League Play-Off;;0
1983.05.30;Hulk Hogan vs Akira Maeda;https://njpwworld.com/p/s_series_00050_2_1;IWGP Champion League;Chiba Park Gymnasium;;;0
1983.06.02;Tiger Mask vs Kuniaki Kobayashi;http://njpwworld.com/p/s_series_00051_3_1;IWGP Champion League;Kuramae Kokugikan;NWA World Jr. Heavyweight Title (vacant);;0
1983.06.02;Antonio Inoki vs Hulk Hogan;https://njpwworld.com/p/s_series_00050_3_1;IWGP Champion League;Kuramae Kokugikan;IWGP Champion League FINAL;;1
1983.06.12;Tiger Mask (c) vs Fishman;http://njpwworld.com/p/s_series_00051_4_1;CMLL;El Treo de Cuatro;WWF Junior Heavyweight Title;;0
1983.07.07;Dick Murdoch vs Abdullah the Butcher;http://njpwworld.com/p/s_series_00051_1_3;Summer Fight Series;Osaka Prefectural Gym;;;0
1983.07.07;Riki Choshu (c) vs Tatsumi Fujinami;http://njpwworld.com/p/s_series_00051_1_2;Summer Fight Series;Osaka Prefectural Gym;WWF Int. Heavyweight Title;;2
1983.08.04;Tatsumi Fujinami (c) vs Riki Choshu;http://njpwworld.com/p/s_series_00051_2_1;Summer Fight Series;Kuramae Kokugikan;WWF Int. Heavyweight Title;;2
1983.08.14;Nobuhiko Takada vs Athol Foley;https://njpwworld.com/p/s_series_00269_1_1;Stampede Wrestling;Victoria Pavilion, Calgary;;;0
1983.08.28;Antonio Inoki vs Rusher Kimura;https://njpwworld.com/p/s_series_00052_1_1;Bloody Fight Series;Denen Colosseum;;;1
1983.11.03;The Cobra vs Davey Boy Smith;https://njpwworld.com/p/s_series_00053_1_4;Fighting Spirit Series;Kuramae Kokugikan;NWA World Jr. Title Tournament FINAL;;0
1983.11.03;Riki Choshu vs Akira Maeda;https://njpwworld.com/p/s_series_00053_1_1;Fighting Spirit Series;Kuramae Kokugikan;Ishingun vs Sekigun;;0
1984.01.01;Tatsumi Fujinami & Akira Maeda vs Riki Choshu & Yoshiaki Yatsu;https://njpwworld.com/p/s_series_00055_1_3;New Year Golden Series;Korakuen Hall;;;0
1984.02.03;Tatsumi Fujinami vs Riki Choshu;http://njpwworld.com/p/s_series_00055_3_1;New Year Golden Series;Nakajima Sports Centre;;;0
1984.02.09;Inoki, Maeda & Fujiwara vs Choshu, Yatsu & Hamaguchi;http://njpwworld.com/p/s_series_00055_4_1;New Year Golden Series;Osaka Prefectural Gym;;;0
1984.04.19;Antonio Inoki vs Riki Choshu;https://njpwworld.com/p/s_series_00056_1_1;Big Fight Series;Kuramae Kokugikan;;;1
1984.05.24;Dick Murdoch vs Adrian Adonis;https://njpwworld.com/p/s_series_00057_1_2;2nd IWGP League;Osaka Prefectural Gym;2nd IWGP League;;0
1984.06.01;Riki Choshu vs Andre the Giant;https://njpwworld.com/p/s_series_00057_2_1;2nd IWGP League;Takamatsu Civic Center;2nd IWGP League;;0
1984.06.14;Tatsumi Fujinami vs Hulk Hogan;http://njpwworld.com/p/s_series_00057_3_1;2nd IWGP League;Kuramae Kokugikan;2nd IWGP League FINAL;;1
1984.08.11;Antonio Inoki vs Riki Choshu;https://njpwworld.com/p/s_series_00058_1_1;Summer Fight Series;Kuramae Kokugikan;;;2
1985.04.18;Antonio Inoki vs Bruiser Brody;https://njpwworld.com/p/s_series_00059_1_1;Big Fight Series;Miyagi Sports Centre;;;0
1985.06.11;Hulk Hogan (c) vs Tatsumi Fujinami;http://njpwworld.com/p/s_series_00060_1_1;Champion's Series;Tokyo Metropolitan Gym;WWF World Heavyweight Title;;1
1985.06.11;Antonio Inoki vs Andre the Giant;https://njpwworld.com/p/s_series_00060_1_2;Champion's Series;Tokyo Metropolitan Gym;;;0
1985.06.13;Antonio Inoki vs Hulk Hogan;https://njpwworld.com/p/s_series_00060_2_1;Champion's Series;Aichi Prefectural Gym;;;0
1985.08.01;Antonio Inoki vs Bruiser Brody;http://njpwworld.com/p/s_series_00061_1_1;Burning Spirit in Summer;Ryogoku Kokugikan;;;0
1985.09.18;Tony St. Clair vs Keiji Mutoh;http://njpwworld.com/p/s_series_00062_2_1;Challenge Spirit;Fukuoka Sports Centre;;;0
1985.09.19;Antonio Inoki vs Tatsumi Fujinami;http://njpwworld.com/p/s_series_00062_3_1;Challenge Spirit;Tokyo Metropolitan Gym;;;2
1985.12.12;Antonio Inoki & Seiji Sakaguchi vs Tatsumi Fujinami & Kengo Kimura;http://njpwworld.com/p/s_series_00063_2_1;IWGP Tag Team League;Miyagi Sports Centre;IWGP Heavy Tag Titles (vacant);;1
1986.01.03;Akira Maeda vs Nobuhiko Takada;http://njpwworld.com/p/s_series_00064_1_1;New Year's Dash;Korakuen Hall;;;0
1986.02.05;Akira Maeda vs Yoshiaki Fujiwara;http://njpwworld.com/p/s_series_00064_2_1;New Year's Dash;Osaka Castle Hall;;;2
1986.02.05;Antonio Inoki & Keiichi Yamada vs Nobuhiko Takada & Osamu Kido;http://njpwworld.com/p/s_series_00064_2_2;New Year's Dash;Osaka Castle Hall;;;0
1986.02.06;Antonio Inoki vs Yoshiaki Fujiwara;http://njpwworld.com/p/s_series_00064_3_1;New Year's Dash;Ryogoku Kokugikan;;;2
1986.02.06;The Cobra vs Shiro Koshinaka;https://njpwworld.com/p/s_series_00064_3_2;New Year's Dash;Ryogoku Kokugikan;IWGP Jr. Heavy Title Tournament FINAL;;1
1986.03.14;Fujinami, Kimura & Hoshino vs Maeda, Fujiwara & Takada;http://njpwworld.com/p/s_series_00065_2_1;New Year Wave;Tokyo Metropolitan Gym;;;1
1986.03.26;NJPW vs UWF - 5 vs 5 Elimination Tag Match;http://njpwworld.com/p/s_series_00065_1_1;New Year Wave;Tokyo Metropolitan Gym;;;2
1986.05.01;NJPW vs UWF - 5 vs 5 Gauntlet Challenge;http://njpwworld.com/pg/s_series_00066_1;Big Fight Series;Ryogoku Kokugikan;;;2
1986.06.12;Tatsumi Fujinami vs Akira Maeda;http://njpwworld.com/p/s_series_00067_2_1;IWGP Champion Series;Osaka Castle Hall;IWGP League Block B Match;;2
1986.06.19;Antonio Inoki vs Dick Murdoch;http://njpwworld.com/p/s_series_00067_4_1;IWGP Champion Series;Ryogoku Kokugikan;;;1
1986.08.05;Nobuhiko Takada (c) vs Shiro Koshinaka;http://njpwworld.com/p/s_series_00068_1_2;Burning Spirit in Summer;Ryogoku Kokugikan;IWGP Jr. Heavyweight Title;;0
1986.09.16;Antonio Inoki vs Bruiser Brody;http://njpwworld.com/p/t_0_osaka_1_04;Challenge Spirit;Osaka Castle Hall;;;2
1986.09.19;Tatsumi Fujinami vs Bruiser Brody;https://njpwworld.com/p/s_series_00070_1_1;Challenge Spirit;Fukuoka Sports Centre;;;0
1986.10.09;Akira Maeda vs Don Nakaya Nelson;http://njpwworld.com/p/s_series_00071_1_1;Inoki Toukon Live;Ryogoku Kokugikan;;;0
1986.10.20;Koshinaka & Kimura vs Takada & Kido;http://njpwworld.com/p/s_series_00305_1_01;Toukon Series;Yamato Body Gym;;;2
1986.11.03;Antonio Inoki & Kevin Von Erich vs Kengo Kimura & Keiji Mutoh;https://njpwworld.com/p/s_series_00072_1_1;Fighting Spirit Series;Korakuen Hall;;;0
1986.12.10;Tatsumi Fujinami vs Kengo Kimura;https://njpwworld.com/p/s_series_00073_2_01;Japan Cup Tag League;Osaka Castle Hall;;;0
1986.12.11;Inoki & Fujiwara vs Maeda & Kido;http://njpwworld.com/p/s_series_00073_1_1;Japan Cup Tag League;Ryogoku Kokugikan;Japan Cup Tag League Final;;1
1987.02.05;Shiro Koshinaka (c) vs Nobuhiko Takada;http://njpwworld.com/p/s_series_00074_1_1;New Year's Dash;Ryogoku Kokugikan;IWGP Jr. Heavyweight Title;;0
1987.03.20;Shinya Hashimoto vs Masahiro Chono;https://njpwworld.com/p/s_series_00075_1_2;Spring Flare Up;Korakuen Hall;Young Lion Cup Final;;0
1987.03.20;Keiji Mutoh & Shiro Koshinaka vs Akira Maeda & Nobuhiko Takada;http://njpwworld.com/p/s_series_00075_1_1;Spring Flare Up;Korakuen Hall;IWGP Heavy Tag Titles (vacant);;1
1987.03.26;Keiji Mutoh & Shiro Koshinaka (c) vs Akira Maeda & Nobuhiko Takada;http://njpwworld.com/p/s_series_00076_1_1;Inoki Toukon Live II;Osaka Castle Hall;IWGP Heavyweight Tag Titles;;1
1987.03.26;Antonio Inoki vs Masa Saito;https://njpwworld.com/p/s_series_00076_1_2;Inoki Toukon Live II;Osaka Castle Hall;;;1
1987.04.27;Antonio Inoki vs Masa Saito;http://njpwworld.com/p/s_series_00077_1_1;Blazing Cherry Blossom;Ryogoku Kokugikan;;;2
1987.06.12;Antonio Inoki vs Masa Saito;http://njpwworld.com/p/s_series_00078_2_1;IWGP Champion Series;Ryogoku Kokugikan;IWGP Heavyweight Title (vacant);;1
1987.08.20;Inoki & Mutoh vs Choshu & Fujinami;http://njpwworld.com/p/s_series_00079_1_1;Summer Night Fever;Ryogoku Kokugikan;;;1
1987.09.01;Maeda & Takada (c) vs Yamazaki & Fujiwara;http://njpwworld.com/p/s_series_00080_1_1;Sengoku Battle Series;Fukuoka Sports Centre;IWGP Heavyweight Tag Titles;;1
1987.12.27;Keiichi Yamada vs Masakatsu Funaki;http://njpwworld.com/p/s_series_00081_1_2;New Year End;Ryogoku Kokugikan;;;0
1987.12.27;Fujinami & Kimura vs Choshu & Saito, Choshu vs Inoki, Inoki vs Vader;https://njpwworld.com/p/s_series_00081_1_1;New Year End;Ryogoku Kokugikan;The Sumo Hall riot;;0
1987.01.25;Keiichi Yamada vs Shiro Koshinaka;https://njpwworld.com/p/s_series_00307_1_01;Top of the Super Jr.;Gifu Industrial Hall;Top of the Super Juniors League;;0
1988.02.07;Shiro Koshinaka vs Hiroshi Hase;http://njpwworld.com/p/s_archive_26_01_01/e/sp/1467;New Year Golden Series;Nakajima Sports Centre;Top of the Super Juniors FINAL;;1
1988.02.07;Antonio Inoki vs Big Van Vader;http://njpwworld.com/p/s_archive_26_01_02/e/sp/1467;New Year Golden Series;Nakajima Sports Centre;;;0
1988.02.07;Kengo Kimura & Tatsumi Fujinami (c) vs Riki Choshu & Super Strong Machine;http://njpwworld.com/p/s_archive_26_01_03/e/sp/1467;New Year Golden Series;Nakajima Sports Centre;IWGP Heavyweight Tag Titles;;0
1988.06.24;Tatsumi Fujinami vs Riki Choshu;http://njpwworld.com/p/s_series_00083_1_1;IWGP Champion Series;Osaka Prefectural Gym;IWGP Heavyweight Title (vacant);;2
1988.06.26;Tatsumi Fujinami (c) vs Big Van Vader;http://njpwworld.com/p/s_series_00083_2_1;IWGP Champion Series;Nagoya Rainbow Hall;IWGP Heavyweight Title;;1
1988.07.22;Antonio Inoki vs Riki Choshu;http://njpwworld.com/p/s_series_00084_1_1;Summer Fight Series;Nakajima Sports Centre;IWGP League Match;;0
1988.07.29;Mutoh, Chono & Hashimoto vs Fujinami, Kimura & Koshinaka;https://njpwworld.com/p/s_series_00084_2_1;Summer Fight Series;Ariake Colosseum;First time the Three Musketeers tagged;;0
1988.07.29;Antonio Inoki vs Big Van Vader;http://njpwworld.com/p/s_series_00084_2_2;Summer Fight Series;Ariake Colosseum;;;1
1988.08.08;Tatsumi Fujinami (c) vs Antonio Inoki;http://njpwworld.com/p/s_series_00084_3_1;Super Monday;Yokohama Bunka Gym;IWGP Heavyweight Title;;1
1988.09.12;Big Van Vader vs Bam Bam Bigelow;http://njpwworld.com/p/s_series_00085_1_1;Sengoku Battle Series;Fukuoka National Centre;;;0
1988.10.19;Antonio Inoki vs Riki Choshu;http://njpwworld.com/p/s_series_00085_2_1;Fighting Spirit Series;Shizuoka Pavillion;;;1
1989.01.16;Tatsumi Fujinami (c) vs Bam Bam Bigelow;http://njpwworld.com/p/s_series_00310_3_01;New Year Golden Series;Osaka Prefectural Gym;IWGP Heavyweight Title;;1
1989.02.09;Tatsumi Fujinami vs Big Van Vader;http://njpwworld.com/p/s_series_00310_1_04/e/sp/1468;New Year Golden Series;Nakajima Sports Centre;;;0
1989.02.09;Antonio Inoki vs Bam Bam Bigelow;http://njpwworld.com/p/s_series_00310_1_01;New Year Golden Series;Nakajima Sports Centre;;;0
1989.02.09;Masa Saito & Riki Choshu (c) vs Kengo Kimura & Yoshiaki Fujiwara;http://njpwworld.com/p/s_series_00310_1_03/e/sp/1468;New Year Golden Series;Nakajima Sports Centre;IWGP Heavyweight Tag Titles;;1
1989.02.22;Antonio Inoki vs Riki Choshu;http://njpwworld.com/p/s_series_00086_1_1;Special Fight in Ryogoku;Ryogoku Kokugikan;;;1
1989.04.24;Hiro Saito vs Naoki Sano;https://njpwworld.com/p/s_series_00087_1_1;Battle Satellite;Tokyo Dome;Young Lion Cup Final;;0
1989.04.24;Big Van Vader vs Tatsumi Fujinami;http://njpwworld.com/p/s_series_00087_1_7;Battle Satellite;Tokyo Dome;IWGP Tournament Semi-Final;;2
1989.04.24;Shinya Hashimoto vs Victor Zangiev;http://njpwworld.com/p/s_series_00087_1_8;Battle Satellite;Tokyo Dome;IWGP Tournament Semi-Final;;1
1989.04.24;Big Van Vader vs Shinya Hashimoto;http://njpwworld.com/p/s_series_00087_1_10;Battle Satellite;Tokyo Dome;IWGP Title Tournament Final;;2
1989.05.25;Hiroshi Hase (c) vs Jushin Liger;https://njpwworld.com/p/s_series_00326_01_02;Battle Satellite;Osaka Castle Hall;IWGP Jr. Heavyweight Title;;0
